district,STATE/UT,DISTRICT,year,BananasPerCapita
1050306,MAHARASHTRA,AHMEDNAGAR,2001,0
1050307,MAHARASHTRA,AKOLA,2001,2
1050308,MAHARASHTRA,AMRAVATI,2001,14
1050309,MAHARASHTRA,AURANGABAD,2001,10
1050311,MAHARASHTRA,BEED,2001,2
1050310,MAHARASHTRA,BHANDARA,2001,5
1050312,MAHARASHTRA,BULDHANA,2001,35
1050313,MAHARASHTRA,CHANDRAPUR,2001,2
1050314,MAHARASHTRA,DHULE,2001,6
1050315,MAHARASHTRA,GADCHIROLI,2001,0
1050316,MAHARASHTRA,GONDIA,2001,4
1050318,MAHARASHTRA,HINGOLI,2001,2
1050319,MAHARASHTRA,JALGAON,2001,5
1050320,MAHARASHTRA,JALNA,2001,5
1050321,MAHARASHTRA,KOLHAPUR,2001,19
1050322,MAHARASHTRA,LATUR,2001,38
1050323,MAHARASHTRA,NAGPUR,2001,10
1050324,MAHARASHTRA,NANDED,2001,21
1050325,MAHARASHTRA,NANDURBAR,2001,2
1050326,MAHARASHTRA,NASIK,2001,10
1050327,MAHARASHTRA,OSMANABAD,2001,2
1050328,MAHARASHTRA,PARBHANI,2001,1
1050329,MAHARASHTRA,PUNE COMMR.,2001,7
1050330,MAHARASHTRA,RAIGAD,2001,1
1050331,MAHARASHTRA,RATNAGIRI,2001,0
1050332,MAHARASHTRA,SANGLI,2001,12
1050333,MAHARASHTRA,SATARA,2001,13
1050334,MAHARASHTRA,SINDHUDURG,2001,0
1050335,MAHARASHTRA,SOLAPUR,2001,12
1050336,MAHARASHTRA,THANE,2001,12
1050337,MAHARASHTRA,WARDHA,2001,9
1050338,MAHARASHTRA,WASHIM,2001,10
1050339,MAHARASHTRA,YAVATMAL,2001,12
1050342,MANIPUR,CHURACHANDPUR,2001,0
1050344,MANIPUR,SENAPATI,2001,0
1050345,MANIPUR,TAMENGLONG,2001,0
1050347,MANIPUR,UKHRUL,2001,0
1050349,MEGHALAYA,GARO HILLS EAST,2001,0
1050353,MEGHALAYA,GARO HILLS SOUTH,2001,0
1050354,MEGHALAYA,GARO HILLS WEST,2001,0
1050351,MEGHALAYA,JAINTIA HILLS,2001,0
1050350,MEGHALAYA,KHASI HILLS EAST,2001,0
1050355,MEGHALAYA,KHASI HILLS WEST,2001,0
1050352,MEGHALAYA,RI-BHOI,2001,0
1050356,MIZORAM,AIZAWL,2001,0
1050357,MIZORAM,CHAMPHAI,2001,0
1050358,MIZORAM,KOLASIB,2001,0
1050359,MIZORAM,LAWNGTLAI,2001,0
1050360,MIZORAM,LUNGLEI,2001,0
1050361,MIZORAM,MAMIT,2001,0
1050364,NAGALAND,DIMAPUR,2001,0
1050365,NAGALAND,KOHIMA,2001,0
1050367,NAGALAND,MON,2001,0
1050369,NAGALAND,TUENSANG,2001,0
1050370,NAGALAND,WOKHA,2001,0
1050372,ODISHA,ANGUL,2001,8
1050373,ODISHA,BALASORE,2001,36
1050374,ODISHA,BARAGARH,2001,0
1050376,ODISHA,BOLANGIR,2001,4
1050377,ODISHA,BOUDH,2001,1
1050379,ODISHA,DEOGARH,2001,2
1050380,ODISHA,DHENKANAL,2001,14
1050381,ODISHA,GAJAPATI,2001,1
1050382,ODISHA,GANJAM,2001,1
1050383,ODISHA,JAGATSINGHPUR,2001,16
1050384,ODISHA,JAJPUR,2001,16
1050385,ODISHA,JHARSUGUDA,2001,4
1050386,ODISHA,KALAHANDI,2001,0
1050387,ODISHA,KANDHAMAL,2001,4
1050388,ODISHA,KENDRAPARA,2001,24
1050389,ODISHA,KEONJHAR,2001,4
1050390,ODISHA,KHURDA,2001,11
1050391,ODISHA,KORAPUT,2001,7
1050392,ODISHA,MALKANGIR,2001,0
1050393,ODISHA,MAYURBHANJ,2001,19
1050395,ODISHA,NAYAGARH,2001,14
1050394,ODISHA,NOWRANGPUR,2001,0
1050396,ODISHA,NUAPADA,2001,0
1050397,ODISHA,PURI,2001,29
1050398,ODISHA,RAYAGADA,2001,1
1050399,ODISHA,SAMBALPUR,2001,0
1050400,ODISHA,SONEPUR,2001,6
1050401,ODISHA,SUNDARGARH,2001,4
1050406,PUNJAB,AMRITSAR,2001,7
1050407,PUNJAB,BHATINDA,2001,4
1050408,PUNJAB,FARIDKOT,2001,4
1050409,PUNJAB,FATEHGARH SAHIB,2001,4
1050410,PUNJAB,FEROZEPUR,2001,11
1050411,PUNJAB,GURDASPUR,2001,6
1050412,PUNJAB,HOSHIARPUR,2001,12
1050413,PUNJAB,JALANDHAR,2001,17
1050415,PUNJAB,LUDHIANA,2001,11
1050416,PUNJAB,MANSA,2001,2
1050417,PUNJAB,MOGA,2001,6
1050418,PUNJAB,MUKTSAR,2001,1
1050420,PUNJAB,PATIALA,2001,10
1050421,PUNJAB,ROPAR,2001,5
1050422,PUNJAB,SANGRUR,2001,10
1050423,RAJASTHAN,AJMER,2001,12
1050424,RAJASTHAN,ALWAR,2001,43
1050425,RAJASTHAN,BANSWARA,2001,10
1050426,RAJASTHAN,BARAN,2001,3
1050427,RAJASTHAN,BARMER,2001,13
1050428,RAJASTHAN,BHARATPUR,2001,24
1050429,RAJASTHAN,BHILWARA,2001,5
1050430,RAJASTHAN,BIKANER,2001,13
1050431,RAJASTHAN,BUNDI,2001,2
1050432,RAJASTHAN,CHITTORGARH,2001,7
1050433,RAJASTHAN,CHURU,2001,8
1050434,RAJASTHAN,DAUSA,2001,8
1050435,RAJASTHAN,DHOLPUR,2001,21
1050436,RAJASTHAN,DUNGARPUR,2001,3
1050437,RAJASTHAN,GANGANAGAR,2001,13
1050438,RAJASTHAN,HANUMANGARH,2001,20
1050439,RAJASTHAN,JAIPUR,2001,29
1050440,RAJASTHAN,JAISALMER,2001,3
1050441,RAJASTHAN,JALORE,2001,12
1050442,RAJASTHAN,JHALAWAR,2001,8
1050443,RAJASTHAN,JHUNJHUNU,2001,0
1050444,RAJASTHAN,JODHPUR,2001,12
1050445,RAJASTHAN,KARAULI,2001,10
1050446,RAJASTHAN,KOTA,2001,17
1050447,RAJASTHAN,NAGAUR,2001,14
1050448,RAJASTHAN,PALI,2001,15
1050449,RAJASTHAN,RAJSAMAND,2001,6
1050450,RAJASTHAN,SAWAI MADHOPUR,2001,6
1050451,RAJASTHAN,SIKAR,2001,15
1050452,RAJASTHAN,SIROHI,2001,8
1050453,RAJASTHAN,TONK,2001,7
1050454,RAJASTHAN,UDAIPUR,2001,9
1050455,SIKKIM,EAST,2001,0
1050456,SIKKIM,NORTH,2001,0
1050458,SIKKIM,WEST,2001,0
1050461,TAMIL NADU,COIMBATORE,2001,21
1050462,TAMIL NADU,CUDDALORE,2001,9
1050463,TAMIL NADU,DHARMAPURI,2001,6
1050464,TAMIL NADU,DINDIGUL,2001,8
1050465,TAMIL NADU,ERODE,2001,4
1050466,TAMIL NADU,KANCHIPURAM,2001,6
1050467,TAMIL NADU,KANYAKUMARI,2001,5
1050468,TAMIL NADU,KARUR,2001,2
1050469,TAMIL NADU,MADURAI,2001,17
1050470,TAMIL NADU,NAGAPATTINAM,2001,4
1050471,TAMIL NADU,NAMAKKAL,2001,4
1050472,TAMIL NADU,NILGIRIS,2001,2
1050473,TAMIL NADU,PERAMBALUR,2001,0
1050474,TAMIL NADU,PUDUKOTTAI,2001,2
1050475,TAMIL NADU,RAMNATHAPURAM,2001,4
1050476,TAMIL NADU,SALEM,2001,11
1050477,TAMIL NADU,SIVAGANGAI,2001,4
1050478,TAMIL NADU,THANJAVUR,2001,0
1050479,TAMIL NADU,THENI,2001,4
1050484,TAMIL NADU,THIRUNELVELI,2001,3
1050480,TAMIL NADU,THIRUVALLUR,2001,6
1050485,TAMIL NADU,THIRUVANNAMALAI,2001,1
1050481,TAMIL NADU,THIRUVARUR,2001,4
1050482,TAMIL NADU,THOOTHUGUDI,2001,1
1050486,TAMIL NADU,VELLORE,2001,8
1050487,TAMIL NADU,VILLUPURAM,2001,14
1050489,TRIPURA,DHALAI,2001,2
1050490,TRIPURA,NORTH,2001,3
1050491,TRIPURA,SOUTH,2001,5
1050492,TRIPURA,WEST,2001,6
1050493,UTTAR PRADESH,AGRA,2001,63
1050495,UTTAR PRADESH,ALLAHABAD,2001,56
1050496,UTTAR PRADESH,AMBEDKAR NAGAR,2001,14
1050498,UTTAR PRADESH,AZAMGARH,2001,32
1050499,UTTAR PRADESH,BADAUN,2001,62
1050500,UTTAR PRADESH,BAGHPAT,2001,20
1050501,UTTAR PRADESH,BAHRAICH,2001,19
1050502,UTTAR PRADESH,BALLIA,2001,19
1050503,UTTAR PRADESH,BALRAMPUR,2001,12
1050504,UTTAR PRADESH,BANDA,2001,21
1050505,UTTAR PRADESH,BARABANKI,2001,35
1050506,UTTAR PRADESH,BAREILLY,2001,57
1050507,UTTAR PRADESH,BASTI,2001,22
1050508,UTTAR PRADESH,BIJNOR,2001,31
1050509,UTTAR PRADESH,BULANDSHAHAR,2001,45
1050510,UTTAR PRADESH,CHANDOLI,2001,16
1050511,UTTAR PRADESH,CHITRAKOOT DHAM,2001,8
1050512,UTTAR PRADESH,DEORIA,2001,27
1050513,UTTAR PRADESH,ETAH,2001,68
1050514,UTTAR PRADESH,ETAWAH,2001,29
1050517,UTTAR PRADESH,FATEHPUR,2001,46
1050518,UTTAR PRADESH,FIROZABAD,2001,48
1050520,UTTAR PRADESH,GHAZIABAD,2001,33
1050521,UTTAR PRADESH,GHAZIPUR,2001,22
1050522,UTTAR PRADESH,GONDA,2001,26
1050523,UTTAR PRADESH,GORAKHPUR,2001,16
1050524,UTTAR PRADESH,HAMIRPUR,2001,22
1050525,UTTAR PRADESH,HARDOI,2001,63
1050526,UTTAR PRADESH,HATHRAS,2001,31
1050530,UTTAR PRADESH,J.P.NAGAR,2001,14
1050527,UTTAR PRADESH,JALAUN,2001,29
1050528,UTTAR PRADESH,JAUNPUR,2001,43
1050529,UTTAR PRADESH,JHANSI,2001,31
1050531,UTTAR PRADESH,KANNAUJ,2001,22
1050535,UTTAR PRADESH,KUSHI NAGAR,2001,18
1050537,UTTAR PRADESH,LALITPUR,2001,10
1050538,UTTAR PRADESH,LUCKNOW,2001,47
1050539,UTTAR PRADESH,MAHARAJGANJ,2001,7
1050540,UTTAR PRADESH,MAHOBA,2001,11
1050541,UTTAR PRADESH,MAINPURI,2001,42
1050542,UTTAR PRADESH,MATHURA,2001,21
1050545,UTTAR PRADESH,MIRZAPUR,2001,23
1050546,UTTAR PRADESH,MORADABAD,2001,45
1050547,UTTAR PRADESH,MUZAFFARNAGAR,2001,24
1050548,UTTAR PRADESH,PILIBHIT,2001,44
1050549,UTTAR PRADESH,PRATAPGARH,2001,33
1050550,UTTAR PRADESH,RAIBAREILLY,2001,29
1050552,UTTAR PRADESH,SAHARANPUR,2001,21
1050555,UTTAR PRADESH,SHAHJAHANPUR,2001,66
1050556,UTTAR PRADESH,SHRAWASTI,2001,4
1050557,UTTAR PRADESH,SIDHARTHNAGAR,2001,13
1050558,UTTAR PRADESH,SITAPUR,2001,82
1050559,UTTAR PRADESH,SONBHADRA,2001,12
1050560,UTTAR PRADESH,SULTANPUR,2001,38
1050561,UTTAR PRADESH,UNNAO,2001,63
1050562,UTTAR PRADESH,VARANASI,2001,31
1050563,UTTARAKHAND,ALMORA,2001,3
1050565,UTTARAKHAND,CHAMOLI,2001,3
1050567,UTTARAKHAND,DEHRADUN,2001,4
1050568,UTTARAKHAND,HARIDWAR,2001,10
1050569,UTTARAKHAND,NAINITAL,2001,5
1050570,UTTARAKHAND,PAURI GARHWAL,2001,5
1050571,UTTARAKHAND,PITHORAGARH,2001,2
1050573,UTTARAKHAND,TEHRI GARHWAL,2001,2
1050575,UTTARAKHAND,UTTARKASHI,2001,1
1050590,WEST BENGAL,24 PARGANAS NORTH,2001,23
1050592,WEST BENGAL,24 PARGANAS SOUTH,2001,48
1050576,WEST BENGAL,BANKURA,2001,22
1050578,WEST BENGAL,BIRBHUM,2001,4
1050577,WEST BENGAL,BURDWAN,2001,32
1050585,WEST BENGAL,COOCHBEHAR,2001,6
1050580,WEST BENGAL,DARJEELING,2001,2
1050583,WEST BENGAL,HOOGHLY,2001,10
1050584,WEST BENGAL,JALPAIGURI,2001,2
1050587,WEST BENGAL,MALDA,2001,5
1050594,WEST BENGAL,PASCHIM MIDNAPUR,2001,29
1050581,WEST BENGAL,PURAB MIDNAPUR,2001,29
1050588,WEST BENGAL,MURSHIDABAD,2001,12
1050589,WEST BENGAL,NADIA,2001,10
1050591,WEST BENGAL,PURULIA,2001,3
1050593,WEST BENGAL,UTTAR DINAJPUR,2001,4
1050121,DELHI,DELHI UT TOTAL,2001,113
1050257,LAKSHADWEEP,LAKSHADWEEP,2001,0
1050003,ANDHRA PRADESH,ADILABAD,2002,20
1050004,ANDHRA PRADESH,ANANTAPUR,2002,9
1050005,ANDHRA PRADESH,CHITTOOR,2002,16
1050006,ANDHRA PRADESH,CUDDAPAH,2002,21
1050007,ANDHRA PRADESH,EAST GODAVARI,2002,11
1050008,ANDHRA PRADESH,GUNTUR,2002,13
1050010,ANDHRA PRADESH,KARIMNAGAR,2002,45
1050011,ANDHRA PRADESH,KHAMMAM,2002,13
1050012,ANDHRA PRADESH,KRISHNA,2002,14
1050013,ANDHRA PRADESH,KURNOOL,2002,11
1050014,ANDHRA PRADESH,MAHABOOBNAGAR,2002,31
1050015,ANDHRA PRADESH,MEDAK,2002,25
1050016,ANDHRA PRADESH,NALGONDA,2002,37
1050017,ANDHRA PRADESH,NELLORE,2002,10
1050018,ANDHRA PRADESH,NIZAMABAD,2002,17
1050019,ANDHRA PRADESH,PRAKASHAM,2002,5
1050020,ANDHRA PRADESH,RANGA REDDY,2002,51
1050021,ANDHRA PRADESH,SRIKAKULAM,2002,4
1050022,ANDHRA PRADESH,VISAKHAPATNAM,2002,3
1050023,ANDHRA PRADESH,VIZIANAGARAM,2002,1
1050024,ANDHRA PRADESH,WARANGAL,2002,45
1050025,ANDHRA PRADESH,WEST GODAVARI,2002,12
1050031,ARUNACHAL PRADESH,DIBANG VALLEY,2002,0
1050036,ARUNACHAL PRADESH,UPPER DIBANG VALLEY,2002,0
1050027,ARUNACHAL PRADESH,KAMENG EAST,2002,0
1050039,ARUNACHAL PRADESH,KAMENG WEST,2002,0
1050030,ARUNACHAL PRADESH,LOHIT,2002,0
1050033,ARUNACHAL PRADESH,PAPUM PARE,2002,0
1050028,ARUNACHAL PRADESH,SIANG EAST,2002,0
1050037,ARUNACHAL PRADESH,SIANG UPPER,2002,0
1050040,ARUNACHAL PRADESH,SIANG WEST,2002,0
1050032,ARUNACHAL PRADESH,SUBANSIRI LOWER,2002,0
1050038,ARUNACHAL PRADESH,SUBANSIRI UPPER,2002,0
1050034,ARUNACHAL PRADESH,TAWANG,2002,0
1050041,ASSAM,BARPETA,2002,4
1050042,ASSAM,BONGAIGAON,2002,3
1050043,ASSAM,CACHAR,2002,7
1050044,ASSAM,DARRANG,2002,4
1050046,ASSAM,DHUBRI,2002,4
1050047,ASSAM,DIBRUGARH,2002,1
1050049,ASSAM,GOLAGHAT,2002,0
1050051,ASSAM,JORHAT,2002,0
1050052,ASSAM,KAMRUP,2002,2
1050053,ASSAM,KARBI ANGLONG,2002,2
1050055,ASSAM,KOKRAJHAR,2002,3
1050056,ASSAM,LAKHIMPUR,2002,0
1050057,ASSAM,MORIGAON,2002,1
1050060,ASSAM,N.C.HILLS,2002,0
1050058,ASSAM,NAGAON,2002,7
1050061,ASSAM,SIBSAGAR,2002,6
1050062,ASSAM,SONITPUR,2002,9
